key,en,he,context,notes
flashcards.weaknesses.not_enough_data,Not enough data yet — save more drill results.,אין עדיין מספיק נתונים — שמרו עוד תוצאות תרגול.,weakness tab empty state,empty state
flashcards.weaknesses.other_colors,Colors,צבעים,weakness-view Other bucket label,
flashcards.weaknesses.other_emojis,Emojis,אימוג׳י,weakness-view Other bucket label,
flashcards.weaknesses.other_numbers,Numbers,מספרים,weakness-view Other bucket label,
flashcards.weaknesses.other_words,Words,מילים,weakness-view Other bucket label,
flashcards.weaknesses.start,Start,התחל,card-count modal start button,
flashcards.weaknesses.tab_combos,Letter + Vowel,אות + תנועה,weakness-view tab,
flashcards.weaknesses.tab_letters,Letters,אותיות,weakness-view tab,
flashcards.weaknesses.tab_other,Other,אחר,weakness-view tab,
flashcards.weaknesses.tab_vowels,Vowels,תנועות,weakness-view tab,
flashcards.weaknesses.view_title,Weaknesses — {name},חולשות — {name},weakness-view modal title,
flashcards.wordlist.untitled,Untitled list,,fallback word-list name,
flashcards.words.emoji_load_failed,Failed to load emoji data.,טעינת נתוני האימוג׳י נכשלה.,emoji tree load error,
flashcards.words.load_failed,Failed to load dictionary words.,טעינת מילות המילון נכשלה.,words-pool load error,
flashcards.words.loading_dict,Loading dictionary…,טוען מילון…,words-pool count while loading,toast
flashcards.words.pool_count.one,{count} word in pool,מילה אחת במאגר,words-pool count,plural
flashcards.words.pool_count.other,{count} words in pool,{count} מילים במאגר,words-pool count,plural
fontmaker.about.about_intro,About Hebrew Font Maker. Version {version}. Developed by Harrison Bleiberg.,,about tab body,help prose
fontmaker.about.beta_tag,Beta,,header beta badge,
fontmaker.about.changelog_heading,Changelog,,about section heading,
fontmaker.about.faq_a_commercial,"That depends on the license you pick when you export. CC0 places the font in the public domain — free for any use, including commercial, with no attribution required. OFL and MIT are also free for commercial use under their terms. All Rights Reserved keeps the font yours to license as you wish. You own what you create; IvritSuite claims no rights to your fonts.",,footer FAQ answer,
fontmaker.about.faq_a_formats,"TrueType (TTF), WOFF2 for the web, and editable UFO source — each with a license you choose (CC0, OFL, MIT, or All Rights Reserved).",,footer FAQ answer,
fontmaker.about.faq_a_free,"Yes. The Hebrew Font Maker is completely free — make and download as many Hebrew fonts as you like, with no account or sign-up.",,footer FAQ answer,
fontmaker.about.faq_a_how,"Upload or scan a picture of each Hebrew letter, trace it into an outline, place the nikkud and trop anchors, then export a real font you can install.",,footer FAQ answer,
fontmaker.about.faq_a_install,"On Windows, double-click the downloaded .ttf file and choose Install. On Mac, double-click it and click Install Font in Font Book. Google Docs only uses fonts from its own catalog and cannot load a local font, so use a desktop word processor such as Word, Pages, or LibreOffice, or upload the file to a design tool like Canva instead.",,footer FAQ answer,
fontmaker.about.faq_a_marks,"Yes. As you build each letter you can anchor its nikkud and trop marks, and the exported font uses OpenType GPOS mark positioning so the marks land in the right place automatically as you type. You can also make a letters-only font and skip the marks.",,footer FAQ answer,
fontmaker.about.faq_a_nikkudtrop,Yes. The free Hebrew Font Maker positions nikkud (vowels) and cantillation (trop) automatically using OpenType mark positioning.,,footer FAQ answer,
fontmaker.about.faq_a_software,No. The Hebrew Font Maker runs entirely in your browser; the font engine loads only when you export.,,footer FAQ answer,
fontmaker.about.faq_heading,Frequently Asked Questions,,footer FAQ summary,
fontmaker.about.faq_q_commercial,Are fonts I make here free to use commercially?,,footer FAQ question,
fontmaker.about.faq_q_formats,What font formats can I export?,,footer FAQ question,
fontmaker.about.faq_q_free,Is the Hebrew Font Maker free?,,footer FAQ question,
fontmaker.about.faq_q_how,How do I make my own Hebrew font?,,footer FAQ question,
fontmaker.about.faq_q_install,"How do I install a Hebrew font on Windows, Mac, or Google Docs?",,footer FAQ question,
fontmaker.about.faq_q_marks,Do the fonts include nikkud (vowels) and cantillation (trop)?,,footer FAQ question,
fontmaker.about.faq_q_nikkudtrop,Can I make free Hebrew fonts with nikkud and trop?,,footer FAQ question,
fontmaker.about.faq_q_software,Do I need to install any software?,,footer FAQ question,
fontmaker.about.footer_about_body,"A free, experimental IvritSuite tool. Builds real fonts entirely client-side (the font engine loads on first export), with GPOS mark positioning for nikkud (mark-to-base) and cantillation/trop (mark-to-mark). Exports TrueType (TTF), WOFF2 and editable UFO source.",,footer about body,
fontmaker.about.footer_about_heading,About,,footer section heading,
fontmaker.about.footer_desktop_note,Desktop browser recommended.,,footer note,
fontmaker.about.special_thanks,"Special Thanks. Thank you to my colleagues at the Davis Academy for supporting the development of this program; to JEDLAB for being a supportive community of Jewish educators who are always willing to collaborate and share resources; to Logan Mendelsohn for his technical help, encouragement, and friendship; and to Baruch Sienna for his extensive beta testing, suggestions, and encouragement. 💛 And a very special thank you to my wife, Emily, for letting me endlessly rant about kerning, Bézier curves, and software licenses.",,about tab body,help prose
fontmaker.about.tagline,"Make your own free Hebrew font — turn your handwriting into a real, installable font with nikkud, right in your browser.",,header subtitle,
fontmaker.ad.close,Close,,picker button,
fontmaker.ad.matched,Matched: {label} template layout (page {page} of {pages}),,auto-detect summary fragment,
fontmaker.ad.no_letters_found,"No letters found. Try a lower ink threshold or Separation 0, and check that the photo is dark ink on light paper. You can also close this and box letters by hand.",,auto-detect summary,
fontmaker.ad.pick_group_aria,Assign box {id},,picker aria-label,aria-label only
fontmaker.ad.pick_taken_title,{name} already has an image or trace — assigning will replace it,,picker button title,
fontmaker.ad.pick_title,Box {id} — assign a letter,,picker title,
fontmaker.ad.remove_box,Remove box,,picker button,
fontmaker.ad.select_reassign,"Select a box to reassign, skip, or remove it.",,auto-detect summary fragment,
fontmaker.ad.skip_box,Skip this box,,picker button,
fontmaker.ad.summary_counts,{boxes} box(es) found · {expected} letters expected — {assigned} will be assigned.,,auto-detect summary,
fontmaker.ad.unassign,Unassign,,picker button,
fontmaker.ad.unassigned,{count} box(es) have no letter (dashed red) — select one to assign it.,,auto-detect summary fragment,
fontmaker.ad.unboxed,{count} letter(s) have no box — box them by hand afterwards.,,auto-detect summary fragment,
fontmaker.ad.unskip_box,Un-skip,,picker button,
fontmaker.canvas.anchor_above,"above {x},{y}",,canvas — chart anchor readout,canvas
fontmaker.canvas.anchor_below,"below {x},{y}",,canvas — chart anchor readout,canvas
fontmaker.canvas.anchor_center,"center {x},{y}",,canvas — chart anchor readout,canvas
fontmaker.canvas.chart_bare,bare,,canvas — chart column header,canvas
fontmaker.canvas.chart_dagesh,dagesh,,canvas — chart column header,canvas
fontmaker.canvas.chart_hiriq,hiriq,,canvas — chart column header,canvas
fontmaker.canvas.chart_holam,holam,,canvas — chart column header,canvas
fontmaker.canvas.chart_patach,patach,,canvas — chart column header,canvas
fontmaker.canvas.chart_qamats,qamats,,canvas — chart column header,canvas
fontmaker.canvas.chart_qubuts,qubuts,,canvas — chart column header,canvas
fontmaker.canvas.chart_segol,segol,,canvas — chart column header,canvas
fontmaker.canvas.chart_sheva,sheva,,canvas — chart column header,canvas
fontmaker.canvas.chart_tsere,tsere,,canvas — chart column header,canvas
fontmaker.canvas.continued, (continued),,canvas — specimen PDF section suffix,canvas
fontmaker.canvas.letter_nikkud,Letter × Nikkud,,canvas — specimen chart title,canvas
fontmaker.canvas.my_font,My Font,,canvas — specimen cover fallback name,canvas
fontmaker.canvas.section_custom,Custom glyphs,,canvas — specimen section title,canvas
fontmaker.canvas.section_english,English letters,,canvas — specimen section title,canvas
fontmaker.canvas.section_ladino,Ladino forms,,canvas — specimen section title,canvas
fontmaker.canvas.section_specialized,Specialized — wide letterforms,,canvas — specimen section title,canvas
fontmaker.canvas.section_yiddish,Yiddish forms,,canvas — specimen section title,canvas
fontmaker.canvas.special_forms,special & precomposed forms,,canvas — specimen cover label,canvas
fontmaker.canvas.specimen_subtitle,Hebrew Font Maker specimen · v{version},,canvas — specimen cover subtitle,canvas
fontmaker.canvas.tpl_english,English Letters,,canvas — printable template title,canvas
fontmaker.canvas.tpl_instruction,"Write one glyph per box in DARK ink, kept inside the box — the light blue grid will not scan.",,canvas — printable template subheading,canvas
fontmaker.canvas.tpl_letters,Hebrew Letters,,canvas — printable template title,canvas
fontmaker.canvas.tpl_nikkud,Vowels (Nikkud),,canvas — printable template title,canvas
fontmaker.canvas.tpl_page_of,{title} · page {n} of {total},,canvas — printable template page suffix,canvas
fontmaker.canvas.tpl_punct,Punctuation & More,,canvas — printable template title,canvas
fontmaker.canvas.tpl_trop,Trop (Cantillation),,canvas — printable template title,canvas
fontmaker.changelog.v1_0,v1.0 — Initial release. (June 2026),,changelog entry,changelog; html-stripped
fontmaker.changelog.v1_1,"v1.1 — Import an existing TTF's letter outlines, its own nikkud & trop mark shapes, and its real anchor positions — so you can fix or build on existing fonts. Exported fonts now embed the license name and a Made-with-IvritSuite attribution in their metadata. Bigger editing workspace on wide monitors. Removed the CC BY 4.0 license option. (June 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v1_2,"v1.2 — Size the dagesh dot and the holam on the vav (וֹ) each on their own, separate from the vowels — the standalone holam now matches the hiriq — and fine-tune any single vowel's height to line it up with the rest. Prepositive & postpositive trop (telisha gedola, yetiv, pashta, zarqa, zinor, telisha qetana) now sit toward the leading or trailing edge of their letter, the way the tradition places them. Your work is auto-saved in this browser — reopen and continue right where you left off, with a warning before you close unsaved changes. A new quality check flags outlines that cross or overlap themselves. Accessibility: full keyboard navigation, screen-reader labels, status badges that don't rely on color alone, reduced-motion support, and dark mode that follows your device. Zoom now centers on the middle of the workspace. (June 2026)",,changelog entry,changelog; html-stripped; mixed UI+content — do not translate {…}
fontmaker.changelog.v1_3,"v1.3 — Placing nikkud & trop now works like the rest of the tool: your moves apply live and you can leave a letter freely — no save dialog — with undo as the safety net. The grid now tells confirmed placements apart from ones carried over from the previous letter: a solid green ✓ means you reviewed it, a hollow amber ✓ means ""carried over — review & confirm"", and amber ! means unconfirmed. ""Save Placement"" is now an optional ✓ Confirm placement review marker. The step tabs show a per-letter checklist (✓ done / ✗ to-do / – not needed) for the letter you're on. The toolbar is now grouped — Project · History · Review · Export — with Export the clear primary action and Help moved up to the top corner. (June 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v1_4,"v1.4 — A new Edit shape editor lets you redesign any nikkud, dagesh, or trop mark from simple dots and bars — round or square dots, square or rounded bars — then apply your shape to the current letter or to all letters. Position each dot or bar by dragging it, nudging with the arrow keys, or typing exact X / Y coordinates — and set a dot's radius or a bar's width & height — for pixel-perfect placement; Reset restores a mark's default shape, and undo / redo (Ctrl/Cmd+Z) covers every change in the editor. The on-stage selection box hugs the mark's actual shape so a small or square mark is never hidden under the handle. (June 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v1_5,"v1.5 — Trop marks can now sit Left, Center, or Right of a letter, not just above or below — so each cantillation mark lands on the correct part of the glyph and look-alikes (e.g. Yetiv vs. Mahpakh, Geresh vs. Geresh Muqdam) read correctly. Every mark has a sensible default side (Segol, Zarqa, Pashta & Telisha Qetana go left; Geresh Muqdam, Deḥi, Yetiv & Telisha Gedola go right; the rest stay centered) that you can change per mark in Place Trop, with a Default spread slider for how far the side marks shift. Need a custom position on one letter? Just drag the mark (or type exact X / Y) to override that letter alone. (June 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v1_6,"v1.6 — New tools for spotting stacked-mark clashes. A Two marks tab in the Quality-check pairs any mark you pick (e.g. dagesh) with every other mark on every letter and flags where they overlap — handy for Babylonian pointing (vowels, dagesh & raphe all sit above) and two-vowel letters like יְרוּשָׁלִַם; the Stacked tab now also flags a vowel that collides with its trop. While placing nikkud you can preview a 2nd mark on the current letter and get a live overlap warning. Raphe now appears in the above-letter picker. (June 2026)",,changelog entry,changelog; html-stripped; mixed UI+content — do not translate {…}
fontmaker.changelog.v1_7,"v1.7 — Drawing aids for consistency. New guides: drop adjustable horizontal & vertical lines on the canvas — drag them or type an exact position — that stay put across every letter, perfect for matching stroke thicknesses & heights. Copy outline from another letter seeds the current letter from one you've already drawn (copy Tav, delete the toe → Het, He, Resh), then reshape with ✎ Edit points. And the built-in ḥataf-patach & ḥataf-kamatz now have their sh'va dots aligned. (June 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v1_8,"v1.8 — Kerning is easier to dial in. The big sample preview now updates live as you drag a pair's gap or add/remove pairs — not just the little two-glyph preview — so you see the effect in real words. The pair list now flags anything that won't export — ⚠ untraced glyphs or pairs still at 0 — with an ""N of M pairs will be exported"" summary, and highlights the pair you're editing. A reading-order hint clarifies that in Hebrew the first letter sits on the right, and class sides (Finals / Descenders) now show what they cover. (June 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v1_9,"v1.9 — More kerning power. Suggest pairs now proposes an even starting gap — set by a new Auto-tightness slider — instead of seeding zeros, so one click gets you most of the way — measured optically from the real outlines (with the correct RTL facing edges), so overhanging letters like ר & ד tuck under the next one. And you can define your own kern classes: reusable named letter groups (alongside the built-in Finals & Descenders) that you kern as a unit on either side of a pair — edit a class and every pair using it updates. (June 2026)",,changelog entry,changelog; html-stripped; mixed UI+content — do not translate {…}
fontmaker.changelog.v2_0,"v2.0 — A friendlier way in. A new Take a tour walkthrough spotlights each step right on your own workspace — start it from the welcome screen, the Help header, or Getting Started. The Export button now warms the font engine in the background as soon as you trace your first letter, so your first export is quick, and it shows what it's doing while it gets ready. When something's missing, the export warnings became clickable — tap a letter to jump straight to it — and a live “what's next?” line under the letters always points you to the next thing to do. Finally, press ? anytime for a keyboard-shortcut cheat sheet. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_1,v2.1 — Custom glyphs are easier to size. The Width & margins controls now follow a letter through the Trace and Edit points steps — not just Align — so you can adjust a traced or duplicated glyph's spacing whenever you're working on its shape. Custom marks (which attach to a letter and have no width of their own) gained a Convert to main glyph button: turn a standalone symbol you built as a mark into a full glyph with its own adjustable width. And a hand-set width of zero is now respected instead of snapping back to the default. (July 2026),,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_2,"v2.2 — Wide letters, Yiddish forms & custom glyphs got a big reliability pass. Nikkud and trop now attach correctly to wide letterforms and digraphs in the exported font (they used to slide to the left edge), wide forms export with smooth curves instead of chunky outlines, and a digraph's width no longer double-counts your letter spacing. The Specialized / Yiddish / Ladino tiles now show a live preview built from your own letters — including the Width slider's stretch — and clicking a form whose base isn't traced yet jumps you straight to tracing it. The Quality check now covers custom glyphs and custom marks, custom glyphs can be picked in kerning and added to the spacing sample with one click, and a custom glyph at a form's code point is protected from being overwritten at export (with a clear note on the tile). Export also warns if custom glyphs are blank or the custom-glyphs toggle is off. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_3,"v2.3 — Trop placement is safer and finer-grained. The Default spread slider no longer wipes out your hand-tuned Left/Right positions — letters you've adjusted keep their spots (with a note showing how many, and a Reset all side positions button when you really want a clean slate). A spread of 0 now sticks everywhere instead of quietly snapping back to the default. Every trop layout change — the spread, a mark's Left / Center / Right switch, and the new per-mark Height nudge — is now fully undoable (Ctrl/Cmd+Z). That Height row lets you raise or lower one trop mark on every letter, so two marks sharing a side (like Pashta and Telisha Qetana) no longer collide. And Check stacking now works while placing trop, too — preview a vowel in grey and get an instant overlap warning. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_4,v2.4 — Wide letterforms & digraphs: the margin bands and width line on the canvas now outline the composed form — not its base letter — so they sit at the real edges of a digraph and follow the Width slider live as you stretch. (July 2026),,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_5,"v2.5 — Stretching a wide letterform no longer runs it off the edge of the canvas — the workspace now widens to fit the whole composed glyph (and its right margin) at any Width, right up to 250%. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_6,"v2.6 — The Place Nikkud step for a wide letterform now makes sense: it previews the vowel right on the stretched form (where it will actually sit) and gives you a one-click “Edit nikkud on …” jump to the base letter, since a wide form's vowels follow the base — no more empty screen or a “drag the handle” hint with nothing to drag. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_7,"v2.7 — The mark size sliders are now undoable (Ctrl/Cmd+Z). Resizing the Nikkud, Holam, Dagesh, Holam (vav), or Trop marks and changing your mind now puts them right back — one undo step per slider drag, just like every other placement change. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_8,"v2.8 — The Place Nikkud / Trop step is tidier and works the way you'd expect. A letter's placement controls — the size sliders and the ✓ Confirm placement / Reset buttons — are now grouped right below the canvas (which fills the width), so nothing's stranded in a far-off strip. The above-mark picker now only offers marks that fit the letter (the shin/sin dots show up only on Shin), and picking any mark — Holam, Shin dot, Sin dot, or Rafe — now actually previews it on the canvas (Rafe used to do nothing). (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v2_9,"v2.9 — The Place Nikkud / Trop panel now says what each control affects. Sections are grouped by scope — “Qamats — every letter” for a vowel's Height & shape, “Below position — Alef only” for this letter's X / Y — with a short plain-language line under each, replacing one long confusing paragraph. The size sliders under the canvas now sit side-by-side with dividers, so they take one tidy row instead of a stack. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_0,"v3.0 — Placement panel, take two: the size sliders under the canvas are stacked again (one per line, so each is easy to read), and the ✓ Confirm placement / Reset letter / Reset all buttons now sit together in their own panel to the right of the sliders instead of underneath them. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_1,"v3.1 — Four fixes. The shin/sin dots are now edited in just one place — Special & precomposed forms (שׁ/שׂ) — instead of also appearing in the above-mark row. Tracing no longer clips your letter at an invisible box: it follows your whole reference image, so a wide letter's edges and feet come through. Reopening a saved project now shows honest letter status — untraced letters no longer look finished — and your chosen reference (tracing) font is kept when you reload. (July 2026)",,changelog entry,changelog; html-stripped; mixed UI+content — do not translate {…}
fontmaker.changelog.v3_2,"v3.2 — Undo now covers two more actions: showing/hiding guides and ✓ Confirm placement. Ctrl+Z steps back through both, just like every other edit. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_3,v3.3 — Small correctness fix: nikkud and trop previews now center properly on a letter whose width is set to exactly zero (a rare edge case that previously fell back to the default width). (July 2026),,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_4,"v3.4 — ""Apply outline to all letters"" now asks before overwriting each letter's own outline and line-weight settings, matching the other apply-to-all buttons. (Still undoable.) (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_5,"v3.5 — Autosave now also captures the opacity and overlay view sliders (template, reference image, glyph) — previously a change to only those settings could be lost if the browser closed before another edit. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_6,"v3.6 — Accessibility polish. Keyboard focus now shows a clear gold outline on the letter tiles, step tabs, and buttons; the Hebrew letters in the grids are tagged as Hebrew so screen readers pronounce them with a Hebrew voice; and the on/off toggle buttons (dark mode, Default/Custom, Per Symbol/Combined, upper/lowercase, and the mark editor mode) now announce their pressed state to assistive technology. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_7,"v3.7 — Edit points by keyboard. In Edit-points mode you can now select points without a mouse: , and . step to the previous / next point, and i inserts a new point after the selected one — so the existing arrow-nudge and Delete shortcuts are finally reachable keyboard-only. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v3_8,"v3.8 — Crop from a sheet by keyboard. When cutting a letter or mark out of a ""one image, all letters"" / combined sheet, you can now do it without a mouse: the arrow keys move a crop box (Shift for smaller steps), + / − resize it, Enter crops, and Esc cancels. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_0,"v4.0 — Smarter tracing and a full point-editing suite. Tracing now picks a good ink threshold automatically, can even out photo lighting, and auto-detects every letter on a combined sheet for one-click review and assignment. Edit points grew into a real outline editor: delete whole contours or stray specks, snap to guides, copy/paste points between letters, flip / rotate / scale, a selection box with move & scale handles, marquee (M) and select-all, line ↔ curve segment switches, corner rounding with a live radius preview, a pen tool (P) that draws contours point by point — even on blank glyphs like digits — and a Contours panel with per-contour colors and hide-while-editing (hidden contours still export). Imported fonts round-trip faithfully: untouched glyphs keep their exact outlines, and hand edits never silently change a glyph's width. Plus a waterfall size preview on the Spacing step. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_1,"v4.1 — Auto-detect fixes. The detected-letter boxes now draw reliably in every browser — they were invisible in Firefox, which showed the sheet but not the gold boxes around each letter. And the ▦ Auto-detect letters button now sits right under the sheet, next to the page navigation, where you're already looking while boxing letters. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_10,"v4.10 — Cleaner UFO exports for font editors. The UFO source export no longer invents an x-height: Hebrew has no lowercase, so that guide was just a duplicate of the cap-height line and confused font editors like Glyphs and RoboFont. The field is now simply left unset, the honest answer for a caseless font. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_11,"v4.11 — More robust auto-detect review boxes. On the Auto-detect letters review screen, the outlined boxes around each detected letter now use fully self-contained sizing and styling, so they render consistently across browsers — a fix aimed at cases (notably Firefox) where the scanned sheet appeared but the boxes over it did not. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_12,"v4.12 — Auto-detect review boxes render reliably in Firefox. Following up on v4.11: the detected-letter outlines are now drawn as vector paths rather than rectangles, sidestepping a Firefox quirk that collapsed the rectangle outlines to zero size — so the boxes appear over the scanned sheet as intended, in every browser. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_14,"v4.14 — Auto-detect review boxes now appear in Firefox. The real culprit, finally pinned down: Firefox was hiding the entire box-overlay layer (it computed the interactive overlay group as display:none, unlike other browsers), so the detected-letter outlines and labels never showed even though the scanned sheet did. Forcing the overlay to display fixes it — the boxes now render in Firefox exactly as they do everywhere else. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_15,"v4.15 — Glyph-editor warnings match the rest of the app. A few notices in the custom-glyph editor — an invalid code point, a code point that's already taken, or converting a mark that has no shape yet — used a plain browser pop-up instead of the tool's own in-app dialog. They now use the same styled dialog as every other message, so the experience is consistent throughout. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_16,"v4.16 — Nikkud & trop editing controls moved beside the canvas. When you edit a vowel point or cantillation mark, its controls — the Simple editor / Upload image switch, the + Dot / + Bar buttons, the dot-size slider, and the shape toggle — now sit in the left panel next to the drawing area, instead of in a strip below it. That's the same spot the letter tools already use, so editing feels consistent, and it makes use of space that used to sit empty. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_17,"v4.17 — Clicking a nikkud or trop mark opens the full shape editor. Picking a vowel point or cantillation mark in its panel now opens the same Edit-shape window used on the letter-placement screen — dots & bars, its own undo, numeric size & position fields, and one-click Apply to all letters — instead of switching the whole workspace. Marks designed from an uploaded image (and combined-sheet mode) still go straight to their image tools. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_2,"v4.2 — A tidier Edit points panel. The point-editing controls are reorganized into clear zones: a sticky header with Done editing always in reach, a Select / Marquee / Pen mode switch, and a middle section that shows just the actions that apply to your current selection — with a Delete ▾ button that gathers point and contour deletion in one place. The Transform, Round corners, and Contours sections now look alike and remember whether you left them open. The long help paragraph became a short tip that changes with what you're doing, plus a ? button that jumps straight to the point-editing shortcuts — and the shortcuts sheet itself now covers every mouse trick too (double-click, Alt-click, segment dots, selection-box moves). Nothing about how editing works changed — every action, shortcut, and undo behaves exactly as before. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_3,"v4.3 — Sturdier exports. Your exported font now gets a valid internal name and download filename no matter what you call it — unusual family names (with slashes, brackets, %, emoji, accents, or Hebrew letters, or a name that's only spaces) used to produce a font some programs would reject or a file saved with no name; now they're always cleaned to a safe name (falling back to MyHebrewFont if nothing usable is left). And the font's version number only ticks up when an export actually finishes — a failed engine download no longer bumps it on every retry. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_4,"v4.4 — Your license always comes with your font. When you export a single TTF or WOFF2, the LICENSE.txt used to try to download by itself right after the font — which some browsers quietly block, leaving you with a font and no license. Now the Exported ✓ screen gives you a one-click ⬇ LICENSE.txt button (named after your font), so it can never be missed. The TTF + WOFF2 zip and UFO still bundle it inside as before. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_5,"v4.5 — A heads-up when a letter can't keep its curves. Once in a while a traced outline is too tangled for the font engine to turn its curves into the exact form a font file needs, so it quietly falls back to straight edges for that one letter — which used to happen with no warning, leaving a font that looked faceted with no clue why. Now the Exported ✓ screen tells you exactly which letters came out with straight edges, so you can re-trace or simplify just those and export again for smooth curves. Every other letter is unaffected. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_6,"v4.6 — Point editing gets a proper cockpit. Everything you use while pointing at the canvas now sits in a toolbar right above it: the Select / Marquee / Pen switch, Undo / Redo buttons (handy on a tablet), zoom, and three view toggles — Handles (show curve handles on every point, not just the selected ones), Guides (hide the guide lines while you look at a shape — snapping still works), and Snap. A slim status line under the canvas shows which letter you're editing, the live cursor position in font units, and how many points are selected, so the side panel is shorter and keeps just the actions for your selection. Your first time in, a one-line hint points the way (it retires itself after your first edit). Nothing about how editing works changed — every button, shortcut, and undo behaves exactly as before (the old hint line under the canvas is retired; the ? cheat sheet has every detail). (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_7,"v4.7 — Two quiet export safeguards. First: if your project somehow carries a word spacing of zero (possible in very old or hand-edited save files — the slider itself never goes below 80), the exported font used to get a zero-width space, so every word ran together; the space now always exports at least the slider's minimum width. Second: when vowels or trop are enabled, every export runs a quick shaping check to confirm the marks actually position correctly — but if that checker couldn't load (say, a flaky connection), the font downloaded anyway with only a briefly-flashed note. Now the Exported ✓ screen tells you plainly when the check was skipped, so you know to test the font before sharing it. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_8,"v4.8 — Older projects export safely again. A project saved by a much older version (or edited outside the app) could be missing some of its vowel anchor points under the hood — and exporting it would fail with a generic ""Export error"" before your font ever built. The app now quietly restores any missing anchor points (in the same spots a fresh letter would get them) wherever it finds them — opening the anchor editor, previewing, or exporting — so those projects build normally; you can still fine-tune every anchor afterwards. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.changelog.v4_9,"v4.9 — Your font's version number behaves itself. Two small bookkeeping fixes: a pre-1.0 version you typed yourself (like 0.5) no longer silently becomes 1.0-something in the exported file, and the automatic per-export version tick now only sticks when a font file actually downloads — cancelling after a failed shaping check, or a WOFF2 conversion hiccup, no longer inches the version up on every retry. (July 2026)",,changelog entry,changelog; html-stripped
fontmaker.glyphname.accent_acute,Acute,,latin accent name,glyph-name
fontmaker.glyphname.accent_cedilla,Cedilla,,latin accent name,glyph-name
fontmaker.glyphname.accent_circumflex,Circumflex,,latin accent name,glyph-name
fontmaker.glyphname.accent_diaeresis,Diaeresis,,latin accent name,glyph-name
fontmaker.glyphname.accent_grave,Grave,,latin accent name,glyph-name
fontmaker.glyphname.accent_tilde,Tilde,,latin accent name,glyph-name
fontmaker.glyphname.alef,Alef,,letter tile/label name,glyph-name
fontmaker.glyphname.apostrophe,Apostrophe,,punct glyph name,glyph-name
fontmaker.glyphname.ayin,Ayin,,letter tile/label name,glyph-name
fontmaker.glyphname.bet,Bet,,letter tile/label name,glyph-name
fontmaker.glyphname.colon,Colon,,punct glyph name,glyph-name
fontmaker.glyphname.comma,Comma,,punct glyph name,glyph-name
fontmaker.glyphname.dagesh,Dagesh,,nikkud mark name,glyph-name
fontmaker.glyphname.dalet,Dalet,,letter tile/label name,glyph-name
fontmaker.glyphname.digit_0,Digit 0,,punct glyph name,glyph-name
fontmaker.glyphname.digit_1,Digit 1,,punct glyph name,glyph-name
fontmaker.glyphname.digit_2,Digit 2,,punct glyph name,glyph-name
