Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
אָבוֹקָדוֹ,avokádo,noun,"avocado (the large, usually yellowish-green or black, savory fruit of the avocado tree)",,
אָבוֹת,avót,proper noun,"Avot, Pirkei Avot (a book of the Mishnah)",,
אָבוֹת אָכְלוּ בֹּסֶר וְשִׁנֵּי בָּנִים תִּקְהֶינָה,avót akh'lú bóser v'shiné baním tik'héna,proverb,Children will suffer for their parents' misdeeds.,Biblical,
אָבוּד,avúd,adjective,"lost, irretrievable, perishing, decayed",,
אָגֶ׳נְדָּה,ajénda,noun,An agenda: a purpose or goal that a person or group is pushing for.,,
אָגַד,agad,root,bound / tied together,Biblical,
אָגַר,agar,root,gathered / stored,Biblical,
אָגַר,agár,verb,"to hoard, to store, to accumulate, to gather",,
אָדִיגֵיָה,adigéya,proper noun,Adygea (a republic and federal subject of south-west Russia),,
אָדִיס אָבֶּבָּה,adis abeba,proper noun,Addis Ababa (the capital city of Ethiopia),,
אָדִישׁ,adísh,adjective,"indifferent, apathetic",,
אָדַם,adam,root,was red,Biblical,
אָדָם,adam,noun,man / human / Adam,Both,
אָדָם,adám,noun,"man, human",,
אָדָם,adám,proper noun,Adam (the first man and the progenitor of the human race),,
אָדָם,adám,proper noun,"a male given name, equivalent to English Adam",,
אָדֹם,adóm,adjective,red,,
אָדֹם,adóm,noun,red,,
אָדוֹן,adón,noun,Mr.,,
אָדוֹן,adón,noun,lord,,
אָה,ah,interjection,ah! / alas!,Biblical,cry of pain
אָהַב,ahav,root,loved,Both,
אָהַב,aháv,verb,to love,,
אָהַד,ahád,verb,to feel affinity or sympathy for someone or something; to admire,,
אָהַל,ahal,root,pitched a tent,Biblical,
אָהַל,ahál,verb,to pitch a tent,,
אָהָל,ahál,noun,a plant that was used for laundry,Biblical,
אָהָל,ahál,noun,aloe,Biblical,
אָהָל,ahál,noun,mesembryanthemum,Biblical,
אָהּ,ah,interjection,alas! (variant with mappiq),Biblical,
אָהוּב,ahúv,adjective,favorite,,
אָהוּב,ahúv,adjective,"loved, beloved",,
אָהוּב,ahúv,noun,A loved one.,,
אָהוּב,ahúv,noun,A lover.,,
אָוֶן,áven,noun,"evil, wickedness",Biblical,
אָוָה,avah,root,desired / craved,Biblical,
אָז,az,adverb,"So, so anyway: used to introduce a question or topic, or to return to a previous topic.",,
אָז,az,adverb,"So, therefore, then, thus.",,
אָז,az,adverb,"Then, at that time.",,
אָז,az,adverb,"Then, next.",,
אָז,az,adverb,then / at that time,Both,
אָז,az,pronoun,then (that time),,
אָז מָה,áz má?,interjection,So what?,,
אָזְלַת יָד,azlát yad,noun,"helplessness, powerlessness, incompetence - lack of strength or ability to do something",,
אָזֶרְבַּיְגָ׳ן,azerbayján,proper noun,Azerbaijan (a country in the South Caucasus in Asia and Europe),,
אָזֶרִית,azérit,proper noun,Azeri (the Turkic language of Azerbaijan),,
אָזַל,azál,verb,"to be used up, be exhausted, be gone, evaporated",Biblical,
אָזַן,azan,root,listened / gave ear,Biblical,
אָח,ákh,interjection,"darn it, oh, no, alas, ach: an expression of dismay.",Biblical,
אָח,ach,noun,brother,Both,also: fire-pan / hearth
אָח,ákh,noun,brother (son of the same parents as another person),,
אָח,ákh,noun,"brother, fellow, peer",,
אָח,ákh,noun,"hearth, fireplace",,
אָח,ákh,noun,nurse,,
אָחִי,akhí,noun,"bro, man, dude",,
אָחִיד,akhíd,adjective,uniform,,
אָחַז,achaz,root,seized / grasped,Both,
אָחַז,akház,verb,"to grab, grasp",,
אָחַז,akház,verb,to hold,Biblical,
אָחַז,akház,verb,"to take, to adopt (measures, actions)",,
אָחַר,achar,root,tarried / was late,Both,
אָחָז,akház,proper noun,Ahaz (a king of Judah mentioned in the book of Kings),,
אָחָז,akház,proper noun,"a male given name, Ahaz",,
אָחוֹרָה,akhóra,adverb,"backward, backwards, astern",,
אָחוֹרָה,akhóra,interjection,Backwards!,,
אָחוֹת,akhót,noun,nurse,,
אָחוֹת,akhót,noun,sister,,
אָחוּ,ákhu,noun,"meadow, pasture, lea",,
אָחוּ,ákhu,noun,"reed, grass",,
אָחוּז,akhúz,adjective,"held in place, fastened, fixed",,Esth 1:6
אָחוּז,akhúz,adjective,"held, grasped",,
אָחוּז,akhúz,adjective,taken proportionally,,Num 31:30
אָחוּז,akhúz,noun,"A hundredth, a percent: used to express percentages.",,
אָחוּז,akhúz,noun,"A percent, a percentage.",,
אָטַם,atam,root,shut / closed up,Biblical,"e.g. ears, lips"
אָטַם,atám,verb,to seal,,
אָטַר,atár,verb,"to shut, close, bind",Biblical,
אָטוֹם,atom,noun,an atom,,
אָטוֹמִי,atomí,adjective,atomic,,
אָטוּם,atúm,adjective,closed,Biblical,
אָיַב,ayav,root,was an enemy / hated,Biblical,
אָיַב,ayáv,verb,"to be hostile to, to hate, to be an enemy to",Biblical,
אָיֹם,ayóm,adjective,"terrible, unbearable",,
אָיֹם,ayóm,adjective,"threatening, frightening, terrifying",Biblical,
אָכֵן,akhén,adverb,"but, yet, in fact",,
אָכֵן,akhén,adverb,"indeed, truly, certainly, yes",,
אָכַל,achal,root,ate / consumed,Both,
אָכַל,akhál,verb,"to consume, to use up",,
אָכַל,akhál,verb,"to devour, to eat up",,
אָכַל,akhál,verb,to eat,,
אָכַל אֶת הַכּוֹבַע,akhál et hakóva,verb,to eat one's hat,,
אָכֹם,akhóm,adjective,"black, brown",Modern,rare
אָלִיגָטוֹר,aligátor,noun,alligator,,
אָלֶכְּסָנְדֶר,aleksánder,proper noun,Alexander: a male given name.,,
אָלֶכְּסָנְדֶר,aleksánder,proper noun,"Used as a surname, a place name, etc.",,
אָלֶפְבֵּית,alefbét,noun,alphabet,,
אָלֶפְבֵּית לָטִינִי,alfabét latíni,noun,Latin alphabet,,
אָלֶפְבֵּית פוֹנֵטִי בֵּין־לְאֻמִּי,alefbét fonéti beinl'umí,proper noun,International Phonetic Alphabet,,
אָלֶרְגִּי,alérgi,adjective,Allergic: having an allergy.,,
אָלֶרְגִּי,alérgi,adjective,Allergic: of or pertaining to an allergy.,,
אָלֶרְגִּיָּה,alérgiya,noun,allergy,,
אָלֶ״ף,álef,noun,"aleph, alef (the first letter of the Hebrew script)",,
אָלַם,alam,root,was mute / bound,Biblical,
אָלָה,alah,root,swore / cursed,Biblical,
אָלָסְקָה,aláska,proper noun,"Alaska (a state of the United States, formerly a territory)",,
אָלוּמִינְיוּם,alumínyum,noun,"aluminium (a light, silvery metal extracted from bauxite, and a chemical element (symbol Al) with an atomic number of 13)",,
אָמִין,amín,adjective,"trustworthy, reliable",,
אָמֵן,amén,interjection,Used to express agreement with what was just stated: amen,Biblical,
אָמֶרִיצְיוּם,amerítsyum,noun,americium (the chemical element (symbol Am) with an atomic number of 95),,
אָמֶרִיקָאִי,amerikái,adjective,"American: of, from, or pertaining to America.",,
אָמֶרִיקָאִי,amerikái,adjective,Multiple-choice.,,
אָמֶרִיקָאִי,amerikái,noun,A (male) American: a (male) person from America.,,
אָמֶרִיקָאִית,amerikaít,noun,A (female) American: a (female) person from America.,,
אָמֶרִיקָה,amérika,proper noun,"America, United States of America (a country in North America; in full, United States of America)",,
אָמֶרִיקָה,amérika,proper noun,"America, the Americas (a supercontinent consisting of North America, Central America and South America regarded as a whole; in full, the Americas)",,
אָמֶרִיקָנִי,amerikáni,adjective,"American: of, from, or pertaining to America.",,
אָמֶרִיקָנִי,amerikáni,noun,A (male) American: a (male) person from America.,,
אָמֶרִיקָנִית,amerikanít,noun,A (female) American: a (female) person from America.,,
אָמַד,amád,verb,"to evaluate, to estimate",,
אָמַן,aman,root,was faithful / believed,Both,hif'il: believed
אָמַץ,amatz,root,was strong / courageous,Both,
אָמַר,amar,root,said,Both,
אָמַר,amár,verb,to intend,,
אָמַר,amár,verb,to mean,,
אָמַר,amár,verb,"to say, tell",Biblical,
אָמָּנוּת הַבָּמָה,omanút habamá,noun,performing arts,,
אָמָּנוּת מוֹדֶרְנִית,omanút modérnit,noun,modern art,,
אָמָּנוּת עַכְשָׁוִית,omanút akhshavít,noun,contemporary art,,
אָמָה,amá,noun,"female servant, slave, handmaid",,
אָמוֹן,amon,proper noun,Amun,,
אָמוֹנְיָה,amónya,noun,ammonia,,
אָמוֹנְיוּם,amónium,noun,Ammonium: the ion NH₄⁺.,,
אָמוֹק,ámok,adverb,"amok (in a frenzy of violence, or on a killing spree; berserk)",,
אָמוֹרָא,amorá,noun,"One of the Amoraim, sages of the Gemara.",,Judaism
אָמוּר,amúr,adjective,"supposed to, meant to, should, believed",,
אָמוּר,amúr,proper noun,"Amur (""the river between the Far East Russia and China"").",,
אָן,an,adverb,where? / whither?,Biblical,poetic
אָנִי,ani,pronoun,I (poetic/biblical),Biblical,
אָנִימֶה,ánime,noun,anime (Animated works that originated in Japan),,
אָנִיס,anís,noun,anise,,
אָנַח,anach,root,sighed / groaned,Biblical,nif'al common
אָנַס,anas,root,compelled / forced,Both,modern: raped
אָנַס,anás,verb,"to force, to coerce",,
אָנַס,anás,verb,to rape,,
אָנָּא,aná or ána – see usage notes,adverb,please,Biblical,
אָנָאלִי,anali,adjective,anal (sometimes substantivized to mean anal sex),,
אָנָה,'ána,adverb,"whither, to where",Biblical,archaic
אָנָה,anah,root,mourned / sighed,Biblical,
אָנָטוֹמְיָה,anatómya,noun,anatomy,,
אָנָלִיזָה,analiza,noun,analysis,,
אָנָנָס,ananás,noun,"pineapple (the ovoid fruit of the pineapple plant, which has very sweet white or yellow flesh, a tough, spiky shell and a tough, fibrous core)",,
אָנָעָרֶף,ana'áref,interjection,"I don't know, no idea",,slang
אָנָ״שׁ,anásh,noun,Used by Hasidim to refer to other members of the same Hasidic sect.,,
אָנֹכִי,anokhí,pronoun,I (first-person singular nominative pronoun).,,archaic
אָנוֹכִי,anokhí,adjective,"selfish, egotistical",,
אָנוֹכִי,anokhí,adverb,selfishly,,
אָנוֹכִיּוּת,anochiyut,noun,"egoism, egotism, selfishness",,
אָנוֹנִימִי,anoními,adjective,"Anonymous: not identified, not identifiable, or not identified by name.",,
אָנוּ,ánu,pronoun,we (first-person plural nominative pronoun),,archaic
אָנוּס,anús,adjective,forced; compelled; obliged,,
אָנוּס,anús,noun,"A Jew who is forced to violate Jewish law, or (in extreme cases) to convert to another religion.",,Judaism
אָנוּס,anús,noun,"Specifically, a converso, especially a marrano or morisco.",,
אָנוּס,ánus,noun,anus,,
אָנוּשׁ,anúsh,adjective,"badly sick, close to death",,
אָנוּשׁ,anúsh,adjective,"mortal, fatal",,
אָסִימְפְּטוֹטָה,asimptotá,noun,asymptote,,
אָסִימֶטְרִיָּה,asimétriya,noun,asymmetry,,
אָסִיר,asír,noun,"A (male) prisoner, inmate, captive, bondsman.",,
אָסַף,asaf,root,gathered,Both,
אָסַף,asáf,verb,"To collect, to accumulate a collection of.",,
אָסַף,asáf,verb,"To gather, to collect: to bring a group of things together.",,
אָסַף,asáf,verb,"To pick up, to collect: to meet someone, and drive or lead them away.",,
אָסַף,asáf,verb,"To take, to gather to oneself.",,
אָסַר,asar,root,bound / imprisoned,Both,
אָסַר,asár,verb,"to bind, tie, join",,
אָסַר,asár,verb,"to forbid, prohibit",,
אָסַר,asár,verb,to imprison,,
אָסַר,asár,verb,to vow,,
אָסָא,ása,proper noun,Asa (the third king of Judah mentioned in the Books of Kings who succeeded his father Abijah; the father of King Jehoshaphat),,
אָסָא,ása,proper noun,"a male given name, Asa or Assa",,
אָסָא,ása,proper noun,a surname,,
אָסָם,asám,noun,granary,,
אָסָף,asáf,proper noun,"a male given name, Asaf",,
אָסוֹן,asón,noun,"A catastrophe, a disaster.",,
אָסוֹצְיָאטִיבִי,asotsyativí,adjective,associative,,
אָסוּנְסְיוֹן,asunsyon,proper noun,Asunción (the capital city of Paraguay),,
אָסוּר,asúr,adjective,forbidden,,
אָסוּר,asúr,adjective,incarcerated,,
אָסוּר,asúr,adjective,"tied up, bound",,
אָסוּתָא,asutá,interjection,"bless you, gesundheit (response to someone sneezing)",,rare
אָפִיק,afík,noun,"riverbed, channel, trough",,
אָפִיק,afík,noun,transmission channel,,
אָפַּרְטְהַיְד,apárt'hayd,noun,apartheid,,
אָפַּתְיָה,apatia,noun,apathy,,
אָפַף,afaf,root,encompassed / surrounded,Biblical,
אָפָּצִ׳י,apachi,proper noun,Apache (people),,
אָפָּצִ׳י,apachi,proper noun,an Apache (a person),,
אָפָה,afah,root,baked,Both,
אָפָה,afá,verb,to bake,Biblical,
אָפֹר,afór,adjective,grey/gray,,
אָץ,'áts,verb,to hurry,,
אָצִיל,atsíl,adjective,"noble, aristocratic",,
אָצִיל,atsíl,adjective,"refined, honourable",,
אָצִיל,atsíl,noun,"a noble, a member of the nobility.",,
אָצֵטִילֵן,atsetilén,noun,acetylene,,
אָצֵטוֹן,atsetón,noun,"acetone (a colourless, volatile, flammable liquid ketone, (CH₃)₂CO, used as a solvent)",,
אָצַל,atzal,root,set aside / reserved / delegated,Biblical,
אָצַר,atzar,root,stored up / treasured,Biblical,
אָצַר,atsár,verb,"to store, to stockpile, to hoard",,
אָקָדֵמַאי,akademáy,noun,academic,,
אָקָדֶמְיָה,akadémya,noun,academy,,
אָקוֹרְד,akórd,noun,chord,,
אָקוֹרְדִּיּוֹן,akordión,noun,accordion,,
אָרִיזוֹנָה,arizóna,proper noun,"Arizona (a state in the southwestern United States, established 1912)",,
אָרִיחַ,aríakh,noun,tile,,
אָרִיס,arís,noun,"tenant farmer, sharecropper",,
אָרִיקָה,arika,proper noun,"Arica (a commune and port city, the capital of the province of Arica, Chile)",,
אָרַב,arav,root,lay in wait / ambushed,Biblical,
אָרַב,aráv,verb,to ambush,,
אָרַב,aráv,verb,to lie in wait,,
אָרַב,aráv,verb,to lurk,,
אָרַג,arag,root,wove,Biblical,
אָרַג,arág,verb,to weave,,
אָרַז,aráz,verb,to pack,,
אָרַח,arákh,verb,"to walk together, to accompany",Biblical,
אָרַךְ,arach,root,was long / lengthened,Both,
אָרַכְנוֹפוֹבְּיָה,arakhnofóbya,noun,arachnophobia,,
אָרַס,aras,root,betrothed,Modern,
אָרַר,arar,root,cursed,Biblical,
אָרַר,arár,verb,"to execrate, to bitterly curse",,
אָרַשׂ,aras,root,betrothed,Biblical,
אָרָד,ʔɔrɔḏ,noun,bronze,,
אָרֹךְ,arókh,adjective,"Used in the construct state, with a noun complement.",,
אָרֹךְ,arókh,adjective,long (having a great distance from one end to the other),,
אָרֹךְ,arókh,adjective,long (of great duration),,
אָרוֹמָה,aróma,noun,aroma (a pleasant or fragrant smell),,
אָרוֹן,arón,noun,A coffin or casket.,Biblical,
אָרוֹן,arón,noun,"A cupboard, closet, cabinet, or similar piece of furniture.",,
אָרוֹן,arón,noun,One of the bars on the shoulders of Israeli military uniforms to indicate junior officer ranks (with more bars indicating a higher rank).,,slang
אָרוֹן,arón,noun,The metaphorical closet in which persons who are secretly LGBT are imagined to reside (as in English).,,slang
אָרוּס,arús,noun,a fiancé,,
אָרוּר,arúr,adjective,"cursed, damned",,
אָשֵׁם,ashém,adjective,"Guilty, responsible (for a crime, a misdeed, a result, etc.).",,
אָשֵׁר,ashér,proper noun,"Asher (the eighth son of Jacob, by his wife's handmaid Zilpah)",,
אָשֵׁר,ashér,proper noun,a male given name,,
אָשַׁם,asham,root,was guilty / offended,Biblical,
אָשַׁם,ashám,verb,To be guilty,Biblical,
אָשַׁר,ashar,root,went straight / blessed / confirmed,Both,
אָשָׁם,ashám,noun,A guilt offering.,Biblical,
אָשָׁם,ashám,noun,Guilt.,Biblical,
אָשָׁם תָּלוּי,ashám talúy,noun,a guilt offering to be offered when one is in doubt as to the commission of a sinful act,,
אָשָׁ״ף,A.Sha.F.,proper noun,"PLO: acronym of הארגון לשחרור פלסטין (ha'irgún l'shikhrúr palastín, “the Palestine Liberation Organization”)",,
אָשׁוּן,ashún,adjective,"hard, tough",,
אָשׁוּן,ashún,adjective,"rigid, stiff",,
אָשׁוּן,ashún,adjective,rough,,
אָתָה,atah,root,came (poetic),Biblical,
אָתוֹן,atón,noun,jenny (a female donkey),Biblical,
אָתוֹן,atón,proper noun,Aten,,
אָתוּנָה,atúna,proper noun,Athens (the capital city of Greece),,
אֹֽטֶם,ótem,noun,a blockage,,
אֹֽטֶם,ótem,noun,"an infarct, an infraction",,
אֹֽכֶל,ókhel,noun,food,,
אֹב,ov,noun,medium / necromancer spirit,Biblical,1 Sam 28:7
אֹבֶךְ,óvekh,noun,haze,,
אֹדֶם,ódem,noun,blush,Biblical,
אֹדֶם,ódem,noun,carnelian or sardonyx,Biblical,
אֹדֶם,ódem,noun,lipstick,Biblical,
אֹדֶם,ódem,noun,"red, redness",Biblical,
אֹדֶם,ódem,noun,"ruby (a clear, deep, red variety of corundum, valued as a precious stone)",Biblical,
אֹהֶל,óhel,noun,A collective term for all that covers a dead body or that a dead body covers; used in legal discussions of purity and impurity.,,Judaism
אֹהֶל,óhel,noun,ohel (a structure erected over the grave of a great and righteous person),,Judaism
אֹהֶל,óhel,noun,"tent (a pavilion or portable lodge consisting of skins, canvas, or some strong cloth, stretched and sustained by poles, used for sheltering people from the weather)",,
אֹזֶן,ozen,noun,ear,Both,
אֹכֶל,ochel,noun,food,Both,
אֹמֶץ,ʾómets,noun,"courage, bravery, valor, guts",,
אֹמֶץ לֵב,ómets lév,noun,courage,,
אֹמֶר,'ómer,noun,"decree, plan, promise",,poetic
אֹמֶר,'ómer,noun,"utterance, word, speech",Biblical,poetic
אֹן,ón,proper noun,Heliopolis,Biblical,
אֹן,on,proper noun,"Heliopolis (the ancient capital of the 13th nome of Lower Egypt, located in the northern suburbs of modern Cairo, Egypt)",Biblical,
אֹנֶס,'ónes,noun,circumstances causing something to be unavoidable,,
אֹנֶס,'ónes,noun,"coercion, compulsion",Biblical,
אֹנֶס,'ónes,noun,rape,,
אֹסֶף,'ósef,noun,a collection,,
אֹפִי,ófi,noun,character (complex of marking psychological traits),,
אֹפִר,ofír,proper noun,"Ophir (a biblical port, known for its gold production)",Biblical,
אֹפִר,ofír,proper noun,"a male or female given name, equivalent to English Ophir",,
אֹפִר,ofír,proper noun,gold in general,Biblical,
אֹפִר,ofír,proper noun,the eleventh son of Joktan,Biblical,
אֹפֶן,ófen,noun,"way, manner",,
אֹפֶק,ófek,noun,horizon,,
אֹפֶק,ófek,proper noun,"a male given name, Ofek, Offek, or Ofeq",,
אֹפֶק אֵרוּעִים,ofeq eru'im,noun,event horizon,,
אֹרֶז,órez,noun,rice,,
אֹרֶךְ,órekh,noun,length (in time or space),,
אֹרֶךְ גַּל,órekh gal,noun,wavelength,,
אֹרֶךְ רוּחַ,órekh rúakh,noun,patience,,
אֹרֶן,óren,noun,pine tree,Biblical,
אֹרֶן,óren,proper noun,"a male given name, equivalent to English Oren",,
אֹרַח,órakh,noun,"way of living and acting, manner, mode",Biblical,
אֹרַח,órakh,noun,"way, path",,
אֹרַח חַיִּים,órakh khayím,noun,lifestyle,,
אֹרַס,'orás,verb,"to become engaged, betrothed",,
אֹשֶׁר,'ósher,noun,happiness,,
אֻבְזַר,uvzár,verb,"to be accessorized, to be equipped",,
אֻבְחַן,'uv'khán,verb,to be diagnosed,,
אֻבְטַח,uv'tákh,verb,"to be secure, to be protected",,
אֻזְכַּר,uz'kár,verb,"to be referenced, to be referred to, to be quoted",,
אֻחַד,ukhád,verb,to be united,,
אֻיַּת,uyát,verb,to be spelled/spelt,,
אֻכְלוּסִיָּה,ukhlusiyá,noun,population,,
אֻכְלוּסִין,ukhlusín,noun,population (people of an area),,
אֻכְמָנִית,ukhmanít,noun,blueberry,,
אֻכַּל,ukál,verb,"to corrode, be consumed, be devoured",Biblical,
אֻכָּף,ukáf,noun,saddle,,
אֻלְפָּן,ulpán,noun,"A studio, such as a recording studio or television studio.",,
אֻלְפָּן,ulpán,noun,"An ulpan, a school for new immigrants to Israel to learn Hebrew.",,
אֻמְלַל,'umlál,verb,"to be miserable, unfortunate, wretched",,
אֻמְלָל,'umlál,adjective,"miserable, unfortunate, wretched",,
אֻמַּן,'umán,verb,"to be trained, to be coached",,
אֻמַּץ,ʾumáts,verb,to be adopted,,
אֻמָּה,'umá,noun,"nation, people",,
אֻמָּן,umán,noun,"craftsman, artisan",,
אֻמָּנוּת,umanút,noun,"craft, skill",,
אֻמָּנוּת,umanút,noun,handicraft,,
אֻנָּה,uná,noun,lobe of a lung,,
אֻרְוָה,urvá,noun,"stable (a building, wing or dependency set apart and adapted for lodging and feeding (and training) ungulates, especially horses)",,
אֻשְׁפִּיזִין,ushpizín,noun,the Ushpizin; the seven guests who spiritually visit the sukkah during Sukkot,,
אֻתַּר,utár,verb,To be located: to have its/one's position determined.,,
א־ב,ʾ-b,root,"Related to paternity, fatherhood.",,
א־ב־ד,ʾ-b-d,root,Forming words pertaining to loss,,
א־ב־ז־ר,ʾ-b-z-r,root,Forming words pertaining to equipment,,
א־ב־ח־ן,ʾ-b-kh-n,root,Forming words pertaining to diagnosis.,,
א־ב־ט־ח,ʾ-b-ṭ-kh,root,Forming words pertaining to securing.,,
א־ב־ך,ʾ-b-k,root,Related to interference of waves.,,
א־ב־ך,ʾ-b-k,root,"Related to rising of smoke, haze, mist.",,
א־ב־ל,ʾ-b-l,root,"Related to mourning, grieving.",,
א־ב־ן,ʾ-b-n,root,Related to stones.,,
א־ב־ס,ʾ-b-s,root,feeding livestock,,
א־ב־ק,ʾ-b-q,root,"Related to dust, powder.",,
א־ב־ק,ʾ-b-q,root,Related to wrestling.,,
א־ב־ר,ʾ-b-r,root,Related to lead (metal).,,
א־ב־ר,ʾ-b-r,root,"Related to limbs, wings.",,
א־ב־ר,ʾ-b-r,root,"Related to strength, valiance.",,
א־ג־ד,ʾ-g-d,root,"Related to binding, uniting, joining.",,
א־ג־ן,ʾ-g-n,root,"Related to basins, bowls.",,
א־ג־ר,ʾ-g-r,root,"Related to collection, accumulation.",,
א־ג־ר,ʾ-g-r,root,"Related to letters, epistles.",,
א־ג־ר,ʾ-g-r,root,Related to roofs.,,
א־ג־ר,ʾ-g-r,root,"Related to wages, salaries.",,
א־ג־ר־ף,ʾ-g-r-p,root,Related to boxing.,,
א־ד־ה,ʾ-d-h,root,"Related to steam, evaporation.",,
א־ד־ם,ʾ-d-m,root,"Related to earth, soil, land.",,
א־ד־ם,ʾ-d-m,root,"Related to humanity, mankind, personhood.",,
א־ד־ם,ʾ-d-m,root,Related to the color red.,,
א־ה־ב,ʾ-h-b,root,Related to love.,,
א־ה־ד,ʾ-h-d,root,"Related to sympathy, support.",,
א־ה־ל,ʾ-h-l,root,Related to aloe.,,
א־ה־ל,ʾ-h-l,root,Related to tents.,,
א־ו־ה,ʾ-w-h,root,"Related to desire, craving, lust.",,
א־ו־ץ,ʾ-w-ts,root,"forming words pertaining to haste, acceleration",,
א־ו־ר,ʾ-w-r,root,related to air,,
א־ו־ר,ʾ-w-r,root,"related to dens, caves",,
א־ו־ר,ʾ-w-r,root,"related to light, illumination",,
א־ו־ר־ר,ʾ-w-r-r,root,Forming words pertaining to ventilation.,,
א־ו־ת,ʾ-w-t,root,"Related to agreement, consent.",,
א־ו־ת,ʾ-w-t,root,"Related to signs, symbols, indications.",,
א־ז־כ־ר,ʾ-z-k-r,root,Forming words pertaining to referencing.,,
א־ז־ל,ʾ-z-l,root,"Related to departure, depletion, exhaustion.",,
א־ז־ן,ʾ-z-n,root,Forming words relating to balancing.,,
א־ז־ן,ʾ-z-n,root,Forming words relating to ears and hearing.,,
א־ז־ר־ח,ʾ-z-r-kh,root,Forming words pertaining to gaining citizenship.,,
א־ח־ז,ʾ-kh-z,root,"Related to grasping, holding.",,
א־ח־ל,ʾ-kh-l,root,Forming words pertaining to wishing.,,
א־ח־ס־ן,ʾ-kh-s-n,root,Forming words pertaining to storing.,,
א־ח־ר,ʾ-kh-r,root,"Related to coming after, being behind, lateness, posteriority.",,
א־ט־ט,ʾ-ṭ-ṭ,root,Related to slowness.,,
א־ט־ם,ʾ-ṭ-m,root,"Related to sealing, closing.",,
א־י־ם,ʾ-y-m,root,"Related to fear, terror, threats.",,
א־כ־ז־ב,ʾ-k-z-b,root,Forming words pertaining to disappointment.,,
א־כ־ז־ר,ʾ-k-z-r,root,Forming words pertaining to cruelty.,,
א־כ־ל,ʾ-k-l,root,"Related to eating away, corrosion.",,
א־כ־ל,ʾ-k-l,root,"Related to eating, food.",,
א־כ־ל־ס,ʾ-k-l-s,root,Forming words pertaining to population.,,
א־ל,ʾ-l,root,"Related to God, gods.",,
א־ל,ʾ-l,root,Related to strength.,,
א־ל־ם,ʾ-l-m,root,Forming words pertaining to muteness,,
א־ל־ם,ʾ-l-m,root,Forming words pertaining to strength,,
א־ל־ף,ʾ-l-p,root,"Related to training, learning.",,
א־ל־ת־ר,ʾ-l-t-r,root,Forming words pertaining to improvisation.,,
א־מ־ד,ʾ-m-d,root,Related to diving.,,
א־מ־ד,ʾ-m-d,root,"Related to estimation, assessment, appraisement.",,
א־מ־ד,ʾ-m-d,root,"Related to wealth, affluence.",,
א־מ־ן,ʾ-m-n,root,Related to amines (organic compounds).,,
א־מ־ן,ʾ-m-n,root,"Related to arts, crafts, skills, learning.",,
א־מ־ן,ʾ-m-n,root,"Related to belief, loyalty, trust.",,
א־מ־ר,ʾ-m-r,root,"Related to fringes, hems.",,
א־מ־ר,ʾ-m-r,root,"Related to princes, rulers, emirs.",,
א־מ־ר,ʾ-m-r,root,"Related to rising, climbing, increasing.",,
א־מ־ר,ʾ-m-r,root,Related to speech.,,
א־נ־ס,ʾ-n-s,root,"Related to coercion, force, rape.",,
א־נ־ק,ʾ-n-q,root,Related to lizards.,,
א־נ־ק,ʾ-n-q,root,Related to moaning.,,
א־ס־ף,ʾ-s-p,root,"Related to gathering, collecting, reaping.",,
א־ס־ר,ʾ-s-r,root,"Related to banning, prohibition, forbiddenness.",,
א־ס־ר,ʾ-s-r,root,"Related to binding, tying, imprisonment.",,
א־פ־ה,ʾ-p-h,root,Related to baking.,,
א־פ־ה,ʾ-p-h,root,"Related to character, nature, disposition.",,
א־פ־ל,ʾ-p-l,root,"Related to dimming, darkening.",,
א־פ־ל,ʾ-p-l,root,Related to late ripening.,,
א־פ־ר,ʾ-p-r,root,"Related to ash, (by extension) greyness.",,
א־פ־ר,ʾ-p-r,root,"Related to bandages, masks, (by extension) make-up.",,
א־פ־ר,ʾ-p-r,root,Related to pastures.,,
א־ר־ך,ʾ-r-k,root,Related to dates (points in time).,,
א־ר־ך,ʾ-r-k,root,Related to length.,,
א־ר־ן,ʾ-r-n,root,"Related to closets, cupboards, boxes.",,
א־ר־ן,ʾ-r-n,root,"Related to pine trees, evergreens.",,
א־ר־ע,ʾ-r-ʿ,root,"Related to happening, events.",,
א־ר־ץ,ʾ-r-ts,root,"Related to earth, land.",,
א־ר־ר,ʾ-r-r,root,Related to cursing.,,
א־שׁ־ך,ʾ-sh-k,root,Related to testicles.,,
א־שׁ־ם,ʾ-sh-m,root,"Related to guilt, sin, fault.",,
א־שׁ־שׁ,ʾ-sh-sh,root,Related to fire.,,
א־שׁ־שׁ,ʾ-sh-sh,root,"Related to strength, recovery.",,
א־ת־ר,ʾ-t-r,root,Related to location.,,
אׇבְדָן,ovdán,noun,loss,,
אׇבְדָן,ovdán,noun,"ruin, destruction",,Esth 8:6
אׇזְנִית,oznít,noun,"headphone, headphones, earphones, headset",,
אׇכְלָה,okhlá,noun,"food, nourishment.",Biblical,
אׇמְנָם,omnám,adverb,truly,,
אׇמָּן,omán,noun,artist,,
אׇמָּן,omán,noun,"master, craftsman, expert",,
אׇמָּנוּת,omanút,noun,art,,
אׇמָּנוּתִי,omanutí,adjective,Artistic: relating to art or artists.,,
